video_id,generic_m3u8_link,html_link,date,processed_transcript_text_link
slovakia_7_26_7_08022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=08022018&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=08022018&DisplayChairman=true,8022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=08022018&DisplayChairman=true
slovakia_7_26_8_13022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=13022018&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=13022018&DisplayChairman=true,13022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=13022018&DisplayChairman=true
slovakia_7_26_9_14022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=14022018&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=14022018&DisplayChairman=true,14022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=14022018&DisplayChairman=true
slovakia_7_26_10_15022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=15022018&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=15022018&DisplayChairman=true,15022018,https://tv.nrsr.sk/archiv/schodza/7/26?MeetingDate=15022018&DisplayChairman=true
slovakia_7_25_1_21122017,https://tv.nrsr.sk/archiv/schodza/7/25?MeetingDate=21122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/25?MeetingDate=21122017&DisplayChairman=true,21122017,https://tv.nrsr.sk/archiv/schodza/7/25?MeetingDate=21122017&DisplayChairman=true
slovakia_7_24_1_05122017,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=05122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=05122017&DisplayChairman=true,5122017,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=05122017&DisplayChairman=true
slovakia_7_24_2_06122017,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=06122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=06122017&DisplayChairman=true,6122017,https://tv.nrsr.sk/archiv/schodza/7/24?MeetingDate=06122017&DisplayChairman=true
slovakia_7_23_1_28112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=28112017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=28112017&DisplayChairman=true,28112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=28112017&DisplayChairman=true
slovakia_7_23_2_29112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=29112017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=29112017&DisplayChairman=true,29112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=29112017&DisplayChairman=true
slovakia_7_23_3_30112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=30112017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=30112017&DisplayChairman=true,30112017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=30112017&DisplayChairman=true
slovakia_7_23_4_01122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=01122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=01122017&DisplayChairman=true,1122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=01122017&DisplayChairman=true
slovakia_7_23_5_05122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=05122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=05122017&DisplayChairman=true,5122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=05122017&DisplayChairman=true
slovakia_7_23_6_06122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=06122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=06122017&DisplayChairman=true,6122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=06122017&DisplayChairman=true
slovakia_7_23_7_07122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=07122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=07122017&DisplayChairman=true,7122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=07122017&DisplayChairman=true
slovakia_7_23_8_08122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=08122017&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=08122017&DisplayChairman=true,8122017,https://tv.nrsr.sk/archiv/schodza/7/23?MeetingDate=08122017&DisplayChairman=true
