html_link,processed_video_link,transcript_id,year,part
https://www.ft.dk/forhandlinger/20101/20101M074_2011-03-31_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/74.aspx,20101M074_2011-03-31_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M073_2011-03-30_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/73.aspx,20101M073_2011-03-30_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M072_2011-03-29_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/72.aspx,20101M072_2011-03-29_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M071_2011-03-23_1200.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/71.aspx,20101M071_2011-03-23_1200,2010,1
https://www.ft.dk/forhandlinger/20101/20101M070_2011-03-22_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/70.aspx,20101M070_2011-03-22_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M069_2011-03-18_2100.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/69.aspx,20101M069_2011-03-18_2100,2010,1
https://www.ft.dk/forhandlinger/20101/20101M068_2011-03-18_1715.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/68.aspx,20101M068_2011-03-18_1715,2010,1
https://www.ft.dk/forhandlinger/20101/20101M067_2011-03-18_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/67.aspx,20101M067_2011-03-18_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M066_2011-03-17_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/66.aspx,20101M066_2011-03-17_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M065_2011-03-16_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/65.aspx,20101M065_2011-03-16_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M064_2011-03-15_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/64.aspx,20101M064_2011-03-15_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M063_2011-03-04_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/63.aspx,20101M063_2011-03-04_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M062_2011-03-03_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/62.aspx,20101M062_2011-03-03_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M061_2011-03-02_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/61.aspx,20101M061_2011-03-02_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M060_2011-03-01_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/60.aspx,20101M060_2011-03-01_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M059_2011-02-25_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/59.aspx,20101M059_2011-02-25_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M058_2011-02-24_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/58.aspx,20101M058_2011-02-24_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M057_2011-02-23_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/57.aspx,20101M057_2011-02-23_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M056_2011-02-22_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/56.aspx,20101M056_2011-02-22_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M055_2011-02-11_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/55.aspx,20101M055_2011-02-11_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M054_2011-02-10_1000.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/54.aspx,20101M054_2011-02-10_1000,2010,1
https://www.ft.dk/forhandlinger/20101/20101M053_2011-02-09_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/53.aspx,20101M053_2011-02-09_1300,2010,1
https://www.ft.dk/forhandlinger/20101/20101M052_2011-02-08_1300.htm,https://www.ft.dk/aktuelt/webtv/video/20101/salen/52.aspx,20101M052_2011-02-08_1300,2010,1
