video_id,generic_video_link,title,processed_transcript_text_link
montenegro_32_05122024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (osmi dan),https://www.skupstina.me/en/chronology-of-discussions/455
montenegro_33_04122024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (sedmi dan),https://www.skupstina.me/en/chronology-of-discussions/447
montenegro_34_03122024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (šesti dan),https://www.skupstina.me/en/chronology-of-discussions/445
montenegro_35_29112024,https://www.youtube.com/watch?v=L-z37kae0kw,Druga - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (deveti dan),https://www.skupstina.me/en/chronology-of-discussions/441
montenegro_36_29112024,https://www.youtube.com/watch?v=L-z37kae0kw,Četvrta - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/461
montenegro_37_28112024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (peti dan),https://www.skupstina.me/en/chronology-of-discussions/463
montenegro_38_27112024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (četvrti dan),https://www.skupstina.me/en/chronology-of-discussions/450
montenegro_39_22112024,https://www.youtube.com/watch?v=L-z37kae0kw,Četvrta - posebna sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (prvi dan),https://www.skupstina.me/en/chronology-of-discussions/457
montenegro_40_19112024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (treći dan),https://www.skupstina.me/en/chronology-of-discussions/446
montenegro_41_18112024,https://www.youtube.com/watch?v=L-z37kae0kw,Treća sjednica Drugog redovnog (jesenjeg) zasijedanja u 2024. godini (drugi dan),https://www.skupstina.me/en/chronology-of-discussions/460
