transcript_id,processed_transcript_text_link_disabled,transcript_title,date,video_id,processed_video_link,video_title,merged_id
slovenia_2018_30_redna_6_23032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=sz&uid=D5604DBA05202A80C12588610048B0A4,30. redna seja Državnega zbora,23032022,slovenia_30_Redna_1_23032022,https://365.rtvslo.si/embed/174858850?a=1&d=1,Državni zbor (30. Redna),slovenia_2018_30_redna_6_23032022_slovenia_30_Redna_1_23032022
slovenia_2018_98_izredna_0_11032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=3184D53F8F0154F3C125880200349A88,98. izredna seja Državnega zbora,11032022,slovenia_98_Izredna_0_11032022,https://365.rtvslo.si/embed/174855396?a=1&d=1,Državni zbor (98. Izredna),slovenia_2018_98_izredna_0_11032022_slovenia_98_Izredna_0_11032022
slovenia_2018_98_izredna_0_11032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=3184D53F8F0154F3C125880200349A88,98. izredna seja Državnega zbora,11032022,slovenia_98_Izredna_1_11032022,https://365.rtvslo.si/embed/174855468?a=1&d=1,Državni zbor (98. Izredna),slovenia_2018_98_izredna_0_11032022_slovenia_98_Izredna_1_11032022
slovenia_2018_97_izredna_0_09032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=24255BD7BDF3F712C12588000044A2DE,97. izredna seja Državnega zbora,09032022,slovenia_97_Izredna_0_09032022,https://365.rtvslo.si/embed/174854828?a=1&d=1,Državni zbor (97. Izredna),slovenia_2018_97_izredna_0_09032022_slovenia_97_Izredna_0_09032022
slovenia_2018_97_izredna_0_09032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=24255BD7BDF3F712C12588000044A2DE,97. izredna seja Državnega zbora,09032022,slovenia_97_Izredna_1_09032022,https://365.rtvslo.si/embed/174854829?a=1&d=1,Državni zbor (97. Izredna),slovenia_2018_97_izredna_0_09032022_slovenia_97_Izredna_1_09032022
slovenia_2018_97_izredna_0_09032022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=24255BD7BDF3F712C12588000044A2DE,97. izredna seja Državnega zbora,09032022,slovenia_27_Redna_0_09032022,https://365.rtvslo.si/embed/174854831?a=1&d=1,Državni zbor (27. Redna),slovenia_2018_97_izredna_0_09032022_slovenia_27_Redna_0_09032022
slovenia_2018_96_izredna_0_28022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=5251A31086C5A44CC12587F7003E89DC,96. izredna seja Državnega zbora,28022022,slovenia_96_Izredna_0_28022022,https://365.rtvslo.si/embed/174852179?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_96_izredna_0_28022022_slovenia_96_Izredna_0_28022022
slovenia_2018_96_izredna_0_28022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=5251A31086C5A44CC12587F7003E89DC,96. izredna seja Državnega zbora,28022022,slovenia_96_Izredna_1_28022022,https://365.rtvslo.si/embed/174852182?a=1&d=1,Državni zbor (96. Izredna),slovenia_2018_96_izredna_0_28022022_slovenia_96_Izredna_1_28022022
slovenia_2018_95_izredna_0_21022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=8B8C6909C93FB46EC12587F0003539C0,95. izredna seja Državnega zbora,21022022,slovenia_95_Izredna_0_21022022,https://365.rtvslo.si/embed/174850220?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_0_21022022_slovenia_95_Izredna_0_21022022
slovenia_2018_95_izredna_0_21022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=8B8C6909C93FB46EC12587F0003539C0,95. izredna seja Državnega zbora,21022022,slovenia_95_Izredna_1_21022022,https://365.rtvslo.si/embed/174850294?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_0_21022022_slovenia_95_Izredna_1_21022022
slovenia_2018_95_izredna_0_21022022,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=VIII&type=mag&uid=8B8C6909C93FB46EC12587F0003539C0,95. izredna seja Državnega zbora,21022022,slovenia_95_Izredna_2_21022022,https://365.rtvslo.si/embed/174850364?a=1&d=1,Državni zbor (95. Izredna),slovenia_2018_95_izredna_0_21022022_slovenia_95_Izredna_2_21022022
